principal_component,M-2H_H_H_M_n10_n20_l0_atom0,M-2H_H_H_M_n10_n20_l1_atom0,M-2H_H_H_M_n10_n20_l2_atom0,M-2H_H_H_M_n10_n20_l3_atom0,M-2H_H_H_M_n10_n20_l4_atom0,M-2H_H_H_M_n10_n21_l0_atom0,M-2H_H_H_M_n10_n21_l1_atom0,M-2H_H_H_M_n10_n21_l2_atom0,M-2H_H_H_M_n10_n21_l3_atom0,M-2H_H_H_M_n10_n21_l4_atom0,M-2H_H_H_M_n10_n22_l0_atom0,M-2H_H_H_M_n10_n22_l1_atom0,M-2H_H_H_M_n10_n22_l2_atom0,M-2H_H_H_M_n10_n22_l3_atom0,M-2H_H_H_M_n10_n22_l4_atom0,M-2H_H_H_M_n10_n23_l0_atom0,M-2H_H_H_M_n10_n23_l1_atom0,M-2H_H_H_M_n10_n23_l2_atom0,M-2H_H_H_M_n10_n23_l3_atom0,M-2H_H_H_M_n10_n23_l4_atom0,M-2H_H_H_M_n11_n20_l0_atom0,M-2H_H_H_M_n11_n20_l1_atom0,M-2H_H_H_M_n11_n20_l2_atom0,M-2H_H_H_M_n11_n20_l3_atom0,M-2H_H_H_M_n11_n20_l4_atom0,M-2H_H_H_M_n11_n21_l0_atom0,M-2H_H_H_M_n11_n21_l1_atom0,M-2H_H_H_M_n11_n21_l2_atom0,M-2H_H_H_M_n11_n21_l3_atom0,M-2H_H_H_M_n11_n21_l4_atom0,M-2H_H_H_M_n11_n22_l0_atom0,M-2H_H_H_M_n11_n22_l1_atom0,M-2H_H_H_M_n11_n22_l2_atom0,M-2H_H_H_M_n11_n22_l3_atom0,M-2H_H_H_M_n11_n22_l4_atom0,M-2H_H_H_M_n11_n23_l0_atom0,M-2H_H_H_M_n11_n23_l1_atom0,M-2H_H_H_M_n11_n23_l2_atom0,M-2H_H_H_M_n11_n23_l3_atom0,M-2H_H_H_M_n11_n23_l4_atom0,M-2H_H_H_M_n12_n20_l0_atom0,M-2H_H_H_M_n12_n20_l1_atom0,M-2H_H_H_M_n12_n20_l2_atom0,M-2H_H_H_M_n12_n20_l3_atom0,M-2H_H_H_M_n12_n20_l4_atom0,M-2H_H_H_M_n12_n21_l0_atom0,M-2H_H_H_M_n12_n21_l1_atom0,M-2H_H_H_M_n12_n21_l2_atom0,M-2H_H_H_M_n12_n21_l3_atom0,M-2H_H_H_M_n12_n21_l4_atom0,M-2H_H_H_M_n12_n22_l0_atom0,M-2H_H_H_M_n12_n22_l1_atom0,M-2H_H_H_M_n12_n22_l2_atom0,M-2H_H_H_M_n12_n22_l3_atom0,M-2H_H_H_M_n12_n22_l4_atom0,M-2H_H_H_M_n12_n23_l0_atom0,M-2H_H_H_M_n12_n23_l1_atom0,M-2H_H_H_M_n12_n23_l2_atom0,M-2H_H_H_M_n12_n23_l3_atom0,M-2H_H_H_M_n12_n23_l4_atom0,M-2H_H_H_M_n13_n20_l0_atom0,M-2H_H_H_M_n13_n20_l1_atom0,M-2H_H_H_M_n13_n20_l2_atom0,M-2H_H_H_M_n13_n20_l3_atom0,M-2H_H_H_M_n13_n20_l4_atom0,M-2H_H_H_M_n13_n21_l0_atom0,M-2H_H_H_M_n13_n21_l1_atom0,M-2H_H_H_M_n13_n21_l2_atom0,M-2H_H_H_M_n13_n21_l3_atom0,M-2H_H_H_M_n13_n21_l4_atom0,M-2H_H_H_M_n13_n22_l0_atom0,M-2H_H_H_M_n13_n22_l1_atom0,M-2H_H_H_M_n13_n22_l2_atom0,M-2H_H_H_M_n13_n22_l3_atom0,M-2H_H_H_M_n13_n22_l4_atom0,M-2H_H_H_M_n13_n23_l0_atom0,M-2H_H_H_M_n13_n23_l1_atom0,M-2H_H_H_M_n13_n23_l2_atom0,M-2H_H_H_M_n13_n23_l3_atom0,M-2H_H_H_M_n13_n23_l4_atom0
PC1,-0.047569,0.019595,0.008856,-0.007904,-0.046932,0.020902,0.007493,-0.012691,-0.047237,0.014769,0.010695,-0.000622,-0.048950,0.019169,0.009632,-0.004895,0.003314,-0.004408,0.000511,0.001153,-0.013020,0.016729,-0.001637,-0.004294,0.025966,-0.019535,0.000512,0.006777,0.015775,-0.024034,0.009735,0.010991,0.112434,-0.082288,-0.092676,-0.062003,-0.115304,0.087395,0.095922,0.065979,0.063560,-0.037937,-0.056801,-0.037244,0.113803,-0.085298,-0.095307,-0.066356,-0.211875,0.190575,0.179651,0.101608,0.228494,-0.209700,-0.198113,-0.111627,-0.164650,0.144819,0.129614,0.070316,-0.199906,0.186693,0.183827,0.112352,0.190697,-0.181523,-0.169482,-0.098956,-0.198335,0.190404,0.181586,0.109570,0.151412,-0.148987,-0.125283,-0.076099,0.197295,-0.192022,-0.178260,-0.103826
PC2,-0.117818,0.252450,-0.229859,-0.225650,-0.117618,0.244864,-0.227199,-0.195079,-0.125956,0.253495,-0.237350,-0.212130,-0.116401,0.258090,-0.230118,-0.228880,-0.027285,-0.014916,0.041210,0.051109,0.007355,0.079649,-0.082494,-0.105971,0.068274,-0.130521,0.148697,0.120653,-0.032077,-0.056125,0.063449,0.165623,-0.025624,-0.009027,0.076219,0.051549,0.031417,0.010948,-0.092723,-0.063498,-0.046874,0.001815,0.095912,0.066309,-0.015669,-0.035654,0.122191,0.070810,0.001555,-0.003313,0.004028,-0.020022,-0.016396,0.012831,0.017790,0.040046,0.062016,-0.025690,-0.132619,-0.087173,0.066445,-0.058068,-0.032188,-0.148752,0.050165,-0.036340,-0.074560,-0.040551,-0.048074,0.034543,0.076194,0.047896,0.006012,-0.001551,-0.027519,-0.018832,0.040157,-0.033072,-0.031854,-0.115563
PC3,-0.063159,0.004487,0.039588,0.001796,-0.059837,0.004783,0.037614,0.000547,-0.057881,-0.016113,0.055380,0.033748,-0.066248,0.004195,0.041593,0.000948,0.173107,0.012174,-0.201961,-0.163648,-0.171912,-0.044087,0.243000,0.200929,0.070105,0.050026,-0.173671,-0.149559,0.132494,0.053668,-0.221254,-0.175194,-0.178818,0.091690,0.215974,0.188324,0.182240,-0.092989,-0.228829,-0.206719,-0.114130,0.040993,0.157386,0.134411,-0.144760,0.058890,0.219105,0.212492,0.036844,-0.026992,-0.042743,0.000619,-0.027049,0.019088,0.034646,-0.006878,-0.035778,0.029809,0.029583,0.031012,0.007701,-0.004437,-0.010992,0.017500,0.042241,-0.038631,-0.059937,-0.048814,-0.066507,0.060982,0.085377,0.065158,0.147626,-0.136021,-0.142661,-0.087274,0.108170,-0.098067,-0.126656,-0.083209
PC4,0.228123,-0.058200,-0.091530,0.057933,0.223749,-0.062968,-0.084572,0.065997,0.207252,-0.031229,-0.097195,0.009941,0.233632,-0.052409,-0.100689,0.043898,-0.025965,-0.036836,0.062057,0.083649,0.011670,0.069324,-0.075454,-0.105539,-0.003484,-0.029819,0.043196,0.078096,0.032498,-0.099845,0.081591,0.096797,-0.161752,0.169800,0.043526,-0.057637,0.195695,-0.219775,-0.038803,0.080966,-0.206354,0.205295,0.011813,-0.096709,-0.247721,0.287015,0.000790,-0.141735,-0.052977,0.067584,-0.025248,-0.092808,0.034609,-0.047797,0.025138,0.088886,0.090352,-0.101185,0.015762,0.006956,-0.015121,0.020624,-0.018701,-0.044217,0.176902,-0.194809,0.013636,0.103658,-0.173865,0.192621,-0.007304,-0.100646,0.088294,-0.093664,-0.038783,-0.004678,0.117466,-0.130578,-0.019368,0.060241
PC5,-0.178595,0.021030,0.097363,0.018036,-0.177091,0.028440,0.091745,-0.009483,-0.186496,0.031507,0.082807,-0.006889,-0.176204,0.007623,0.105570,0.048824,0.187186,-0.090169,-0.092587,-0.060753,-0.263004,0.220231,0.066145,0.005929,0.289430,-0.251657,0.056992,0.161997,0.214438,-0.153975,-0.057322,-0.017521,0.052587,-0.054107,-0.006961,0.005190,-0.014095,-0.001983,0.029185,0.041373,-0.153088,0.203817,-0.104338,-0.185651,-0.021309,0.052962,-0.055443,-0.098514,-0.128257,0.162154,-0.066935,-0.121293,0.105087,-0.137024,0.057036,0.096449,0.058553,-0.063333,0.019613,0.065094,0.022545,-0.031392,0.032501,0.072757,0.024997,-0.042598,0.098843,0.161363,0.001052,0.015442,-0.093395,-0.145178,-0.161840,0.164607,0.008372,-0.061714,-0.084801,0.076670,0.051853,0.046321
PC6,-0.000714,-0.035371,0.040071,0.071152,-0.000749,-0.032275,0.037653,0.063895,-0.086054,0.096459,-0.048062,-0.134119,-0.010590,-0.024571,0.035331,0.038225,-0.017355,0.186492,-0.197572,-0.212599,-0.048187,-0.054416,0.099577,0.129704,0.120724,-0.184248,0.178563,0.134604,0.148076,-0.149294,0.030906,-0.002519,-0.129715,0.205755,-0.106167,-0.152407,0.105505,-0.171660,0.081887,0.119058,0.052388,-0.084702,0.074372,0.092661,-0.047387,0.069077,-0.030338,-0.037843,0.011194,-0.089061,0.235096,0.246655,-0.003251,0.067706,-0.194367,-0.208588,-0.036832,0.106144,-0.214287,-0.177266,-0.043869,0.073356,-0.083569,-0.049127,-0.012925,0.030368,-0.078494,-0.045585,0.009789,-0.020360,0.049450,0.009921,-0.004736,-0.041282,0.186497,0.227482,-0.016470,-0.011978,0.125119,0.167627
PC7,0.073743,-0.056897,0.023433,0.007212,0.083190,-0.070828,0.027142,0.070823,0.007721,0.040536,-0.023909,-0.157469,0.049362,-0.024788,0.014896,-0.087375,-0.244461,0.330508,-0.104424,-0.229053,0.161340,-0.232804,0.039029,0.140708,0.025388,-0.066406,0.094435,0.064396,0.032206,-0.090756,0.081179,0.071850,0.123380,-0.187076,0.067817,0.206129,-0.082798,0.133817,-0.045211,-0.170020,-0.083855,0.095433,-0.037595,-0.027421,-0.025815,0.041191,-0.041853,0.019858,-0.006803,-0.016815,0.057226,0.130037,-0.028688,0.062182,-0.072715,-0.170430,0.203468,-0.254615,0.108437,0.269836,0.065577,-0.071702,-0.028492,0.067267,0.103043,-0.101671,0.002494,0.079177,-0.079110,0.073125,0.018016,-0.045558,-0.101317,0.121637,-0.052329,-0.104699,-0.072042,0.092129,-0.070271,-0.149774
PC8,-0.058997,0.107763,-0.081153,-0.187506,-0.083502,0.145231,-0.104979,-0.273943,0.020973,-0.029148,0.012047,0.055689,-0.025357,0.064984,-0.055627,-0.096820,-0.080779,0.112368,-0.034073,-0.081260,0.097847,-0.181507,0.071482,0.110294,0.023972,0.002035,-0.019005,-0.040619,-0.217025,0.345796,-0.190661,-0.168371,-0.079992,0.169468,-0.154094,-0.133168,0.084271,-0.183497,0.158892,0.144847,-0.081207,0.153534,-0.159768,-0.156619,-0.034706,0.040795,-0.003649,0.016562,-0.001710,-0.008039,0.005391,0.064100,0.000444,0.020227,-0.037258,-0.097940,-0.008584,-0.012684,0.042224,0.100618,0.039632,-0.124134,0.263003,0.267970,-0.008795,-0.009239,0.090978,0.114008,0.007733,0.008822,-0.086620,-0.116478,-0.001420,0.006074,-0.016774,0.024717,0.010983,-0.021762,0.086140,0.047204
PC9,-0.032930,-0.010236,0.032895,0.028296,-0.038001,0.003289,0.032317,-0.070391,-0.032318,-0.039580,0.042991,0.138110,-0.032485,-0.019248,0.021714,0.142313,-0.142770,0.207917,-0.204897,0.111489,0.091733,-0.155175,0.169591,-0.148797,0.065888,-0.089659,0.003487,0.215849,-0.033026,0.048534,-0.064164,0.055657,-0.051101,0.005652,0.116664,0.029877,0.034169,-0.017600,-0.059562,0.021621,0.036779,0.064343,-0.201840,-0.213191,0.000505,0.017783,-0.024149,-0.069526,0.098312,-0.099471,0.010219,-0.256194,-0.078472,0.085964,-0.037272,0.260384,-0.064343,0.046235,0.123508,-0.161942,0.027279,-0.043317,0.057170,-0.071623,0.089695,-0.055403,-0.123507,-0.334295,-0.072592,0.043761,0.097268,0.341011,-0.076448,0.048498,0.174828,-0.099958,-0.020941,0.012897,0.068711,-0.026872
PC10,0.013668,0.023309,-0.033791,-0.056732,0.010508,0.027027,-0.043009,-0.016824,0.036677,-0.064277,0.056883,0.054239,0.022746,0.016418,-0.016751,-0.116062,0.047034,-0.093330,0.150946,-0.112236,-0.052549,0.114971,-0.154267,0.117391,0.053560,-0.049647,0.080787,-0.107717,0.013010,-0.062508,0.100543,-0.021066,-0.082031,0.003019,0.159284,0.184829,0.040897,-0.000937,-0.074798,-0.123500,0.121668,0.019686,-0.308460,-0.187949,0.009319,0.017779,-0.064835,-0.006293,0.121779,-0.084951,-0.216304,0.100203,-0.079733,0.046118,0.197609,-0.122130,-0.171350,0.153530,0.064603,0.205121,-0.028909,0.030064,-0.008180,0.091189,0.091349,-0.044199,-0.281551,-0.029865,-0.068148,0.032308,0.231148,-0.026601,-0.090725,0.042978,0.195089,0.355120,-0.005648,-0.008830,0.047013,0.105866
