principal_component,M-2H_M_H_O_n10_n20_l0,M-2H_M_H_O_n10_n20_l1,M-2H_M_H_O_n10_n20_l2,M-2H_M_H_O_n10_n20_l3,M-2H_M_H_O_n10_n20_l4,M-2H_M_H_O_n10_n21_l0,M-2H_M_H_O_n10_n21_l1,M-2H_M_H_O_n10_n21_l2,M-2H_M_H_O_n10_n21_l3,M-2H_M_H_O_n10_n21_l4,M-2H_M_H_O_n10_n22_l0,M-2H_M_H_O_n10_n22_l1,M-2H_M_H_O_n10_n22_l2,M-2H_M_H_O_n10_n22_l3,M-2H_M_H_O_n10_n22_l4,M-2H_M_H_O_n10_n23_l0,M-2H_M_H_O_n10_n23_l1,M-2H_M_H_O_n10_n23_l2,M-2H_M_H_O_n10_n23_l3,M-2H_M_H_O_n10_n23_l4,M-2H_M_H_O_n11_n20_l0,M-2H_M_H_O_n11_n20_l1,M-2H_M_H_O_n11_n20_l2,M-2H_M_H_O_n11_n20_l3,M-2H_M_H_O_n11_n20_l4,M-2H_M_H_O_n11_n21_l0,M-2H_M_H_O_n11_n21_l1,M-2H_M_H_O_n11_n21_l2,M-2H_M_H_O_n11_n21_l3,M-2H_M_H_O_n11_n21_l4,M-2H_M_H_O_n11_n22_l0,M-2H_M_H_O_n11_n22_l1,M-2H_M_H_O_n11_n22_l2,M-2H_M_H_O_n11_n22_l3,M-2H_M_H_O_n11_n22_l4,M-2H_M_H_O_n11_n23_l0,M-2H_M_H_O_n11_n23_l1,M-2H_M_H_O_n11_n23_l2,M-2H_M_H_O_n11_n23_l3,M-2H_M_H_O_n11_n23_l4,M-2H_M_H_O_n12_n20_l0,M-2H_M_H_O_n12_n20_l1,M-2H_M_H_O_n12_n20_l2,M-2H_M_H_O_n12_n20_l3,M-2H_M_H_O_n12_n20_l4,M-2H_M_H_O_n12_n21_l0,M-2H_M_H_O_n12_n21_l1,M-2H_M_H_O_n12_n21_l2,M-2H_M_H_O_n12_n21_l3,M-2H_M_H_O_n12_n21_l4,M-2H_M_H_O_n12_n22_l0,M-2H_M_H_O_n12_n22_l1,M-2H_M_H_O_n12_n22_l2,M-2H_M_H_O_n12_n22_l3,M-2H_M_H_O_n12_n22_l4,M-2H_M_H_O_n12_n23_l0,M-2H_M_H_O_n12_n23_l1,M-2H_M_H_O_n12_n23_l2,M-2H_M_H_O_n12_n23_l3,M-2H_M_H_O_n12_n23_l4,M-2H_M_H_O_n13_n20_l0,M-2H_M_H_O_n13_n20_l1,M-2H_M_H_O_n13_n20_l2,M-2H_M_H_O_n13_n20_l3,M-2H_M_H_O_n13_n20_l4,M-2H_M_H_O_n13_n21_l0,M-2H_M_H_O_n13_n21_l1,M-2H_M_H_O_n13_n21_l2,M-2H_M_H_O_n13_n21_l3,M-2H_M_H_O_n13_n21_l4,M-2H_M_H_O_n13_n22_l0,M-2H_M_H_O_n13_n22_l1,M-2H_M_H_O_n13_n22_l2,M-2H_M_H_O_n13_n22_l3,M-2H_M_H_O_n13_n22_l4,M-2H_M_H_O_n13_n23_l0,M-2H_M_H_O_n13_n23_l1,M-2H_M_H_O_n13_n23_l2,M-2H_M_H_O_n13_n23_l3,M-2H_M_H_O_n13_n23_l4
PC1,-0.105420,0.106414,0.078693,-0.109749,-0.018176,0.034894,0.018800,-0.045173,0.127469,-0.140384,-0.102541,0.150734,-0.023323,0.007780,0.004138,0.005772,0.073790,-0.101408,-0.033406,0.132030,-0.018734,0.031246,0.016619,-0.048648,-0.041786,0.081589,0.054058,-0.135356,-0.053978,0.053182,-0.038592,-0.023742,0.125185,-0.137761,0.142938,0.167748,-0.114788,0.124177,-0.121165,-0.141582,-0.058436,0.074998,-0.098458,-0.105693,-0.038404,0.049521,-0.090976,0.020161,0.179503,-0.172821,0.112346,0.175484,-0.170055,0.163666,-0.106790,-0.167529,-0.110824,0.107751,-0.073473,-0.113896,-0.007552,-0.000624,0.026593,0.016395,-0.192027,0.194903,-0.187116,-0.185434,0.191383,-0.194392,0.186289,0.181512,0.155457,-0.156655,0.146366,0.135220,-0.009270,-0.000701,0.041760,-0.015654
PC2,-0.176847,0.195456,0.131961,-0.203673,0.207122,-0.221813,-0.114247,0.238183,-0.133614,0.149469,0.090178,-0.154658,-0.125704,0.116902,0.010891,-0.192534,0.047172,-0.098950,-0.057469,0.173593,-0.051786,0.119614,0.094966,-0.230236,0.013898,-0.067580,-0.100303,0.167910,0.027163,-0.044571,-0.012499,0.188535,0.044008,-0.047161,0.032042,0.086971,-0.094786,0.101794,-0.085260,-0.138691,0.126787,-0.136036,0.111902,0.184821,0.079821,-0.086537,0.077458,0.085201,0.041907,-0.049813,0.076623,0.031736,-0.068943,0.076594,-0.095631,-0.065558,0.124075,-0.124287,0.091855,0.158564,0.002925,0.006812,-0.039604,-0.014336,0.008349,-0.009542,0.016826,-0.015807,0.011055,-0.008974,-0.003884,0.040277,-0.073856,0.068149,-0.032731,-0.121799,-0.128262,0.136388,-0.147357,-0.105889
PC3,-0.026020,0.027108,0.080343,-0.051084,-0.110240,0.068916,-0.118845,0.016265,0.075257,-0.043457,0.063083,-0.002473,0.167654,-0.148983,0.097785,0.080100,0.046978,-0.052687,-0.032539,0.065740,-0.189018,0.180159,-0.088564,-0.070045,0.155128,-0.140120,0.098830,0.025954,0.246874,-0.239263,0.196743,0.045114,0.213378,-0.205226,0.172966,0.119075,-0.165088,0.161650,-0.134105,-0.113614,-0.211266,0.197823,-0.174439,-0.006764,-0.065559,0.071441,-0.071403,-0.046985,-0.042192,0.054994,-0.108600,-0.000849,0.030683,-0.042365,0.095134,-0.014260,0.038757,-0.051672,0.083076,0.059322,0.104843,-0.101935,0.070661,0.073087,0.069645,-0.077592,0.102476,0.032924,-0.052386,0.060879,-0.087833,-0.020668,-0.119678,0.127224,-0.149817,-0.062482,0.120437,-0.130269,0.151994,0.075402
PC4,-0.019354,0.016807,0.079605,-0.041638,0.008359,0.013704,-0.040559,-0.004878,0.036244,-0.052535,0.011835,0.043499,-0.045085,0.029564,-0.003429,-0.019429,-0.242909,0.179802,-0.208941,0.052486,0.299592,-0.258765,0.306130,-0.033582,-0.216262,0.207167,-0.199757,-0.023155,-0.109030,0.112971,-0.134737,0.012229,0.164094,-0.158526,0.145495,0.073289,-0.179253,0.170890,-0.150672,-0.069703,-0.015678,0.023605,-0.042070,-0.029140,0.007941,0.000008,-0.046608,0.060300,-0.147910,0.165447,-0.220617,-0.101548,0.153930,-0.169354,0.216997,0.102806,0.011866,-0.026141,0.070131,0.032202,0.043780,-0.052147,0.077105,0.010745,-0.019797,0.013298,0.006297,0.006348,0.011573,-0.004691,-0.016800,-0.002612,0.018427,-0.014588,0.009137,-0.052213,-0.014250,0.007811,0.017557,0.002056
PC5,-0.092030,0.079174,-0.151323,0.003164,0.120536,-0.100824,0.245397,-0.033978,0.060039,-0.060540,-0.090404,0.079236,-0.250093,0.277831,-0.261704,-0.137893,0.015406,-0.021036,0.099570,-0.029449,-0.016640,0.011832,-0.123276,0.063755,0.089708,-0.035150,0.097150,-0.093871,-0.065293,0.050277,-0.006167,-0.003317,0.001195,-0.003830,0.010081,0.010299,0.042195,-0.032570,-0.005945,0.019660,-0.077862,0.067559,-0.005751,-0.090474,-0.173162,0.153996,-0.048259,-0.076199,-0.027617,0.037362,-0.062894,-0.055401,-0.011563,0.003239,0.016803,0.041370,0.139070,-0.140765,0.147859,0.027473,0.267131,-0.297154,0.322281,0.312604,-0.013997,0.007653,0.013075,-0.003476,0.016288,-0.011515,-0.002500,-0.005097,-0.030430,0.040579,-0.078499,0.002261,-0.067720,0.083554,-0.146825,0.023920
PC6,-0.060592,0.031250,-0.035135,0.001835,0.133506,-0.137038,0.140596,0.052841,-0.130472,0.104173,0.053652,-0.088403,-0.072226,0.158654,-0.317040,0.041692,0.003224,0.010096,-0.020328,-0.013846,-0.027451,0.035423,-0.051160,-0.009385,0.023963,-0.054748,0.003405,0.072884,0.040408,-0.060927,0.183379,-0.104932,0.023125,-0.016276,0.018309,-0.053175,-0.037540,0.039953,-0.084000,0.046460,0.041709,-0.058875,0.113624,0.027786,-0.017272,-0.016235,0.157833,-0.070890,-0.066984,0.075463,-0.087394,-0.101201,0.073502,-0.082076,0.094402,0.104929,0.001497,0.008063,-0.039396,-0.016127,-0.172186,0.147425,-0.026951,-0.103041,-0.155644,0.145865,-0.097822,-0.164301,0.157506,-0.148879,0.104317,0.164565,-0.003910,0.010989,-0.033517,-0.041668,0.316314,-0.299210,0.169139,0.347777
PC7,-0.000148,0.021211,-0.063470,-0.000413,0.051372,-0.001474,0.095216,-0.065517,-0.061765,0.001693,-0.133643,0.072095,-0.033801,-0.026979,0.012530,0.121795,0.298981,-0.277680,0.343123,0.005997,-0.153844,0.134439,-0.152282,0.011268,-0.093896,0.122679,-0.138450,-0.041964,-0.085472,0.109142,-0.172349,-0.016177,0.049183,-0.056592,0.096317,0.004257,-0.054189,0.059144,-0.100775,0.011153,-0.098462,0.104738,-0.111571,-0.073267,0.190465,-0.183182,0.147696,-0.029931,-0.113892,0.121792,-0.155287,-0.041501,0.093822,-0.100579,0.129204,0.036242,0.174411,-0.182680,0.210527,0.057382,-0.107338,0.114762,-0.097914,-0.168022,0.007860,0.002763,-0.048383,0.083696,-0.008857,-0.002010,0.048621,-0.086156,0.085637,-0.091554,0.106579,0.056673,-0.070524,0.059299,0.000941,-0.085325
PC8,0.104197,-0.065156,0.114712,-0.010470,-0.004944,0.019242,-0.074306,0.009181,-0.046746,0.012745,0.025578,-0.004338,-0.022444,0.003111,0.017568,0.001044,0.073165,-0.079420,0.039769,0.048642,-0.051506,0.052073,0.006425,-0.041620,-0.239041,0.210027,-0.190833,-0.007030,0.187839,-0.173561,0.118155,0.030283,-0.133874,0.120318,-0.126567,0.057727,0.105727,-0.096336,0.132688,-0.086904,0.006628,-0.001373,-0.041268,0.062522,0.278163,-0.268773,0.160367,0.167451,-0.054140,0.046991,-0.048598,0.078367,0.052575,-0.044918,0.050194,-0.097719,-0.104293,0.098278,-0.083651,0.008070,0.318257,-0.305995,0.198659,0.220138,-0.059571,0.061643,-0.075382,0.032854,0.070537,-0.071024,0.079098,-0.027475,0.016720,-0.033056,0.091124,-0.002440,0.069844,-0.080311,0.104048,0.103555
PC9,0.139068,-0.085896,0.297189,-0.069598,-0.099794,0.099614,-0.286824,0.042929,0.120745,-0.143151,0.358041,-0.006673,-0.054996,0.070639,-0.090884,-0.015170,0.170302,-0.178198,0.128048,0.081054,-0.100075,0.111415,-0.012719,-0.089552,0.092068,-0.069910,-0.073577,0.066951,-0.147122,0.155491,-0.162302,-0.038682,-0.067086,0.054582,-0.020470,-0.002710,0.081528,-0.074784,0.071463,-0.004979,0.033326,-0.012845,-0.077140,0.055399,-0.127574,0.141993,-0.147108,-0.112687,-0.079465,0.088091,-0.100063,-0.114674,0.095967,-0.106486,0.123965,0.128766,-0.070337,0.094690,-0.161629,-0.097903,-0.067880,0.022612,0.143782,0.006607,-0.011558,0.030456,-0.082195,-0.102662,0.034322,-0.051413,0.093251,0.131669,-0.074168,0.055753,0.030017,-0.174978,-0.070252,0.079735,-0.115931,0.021073
PC10,0.044658,-0.018192,-0.090917,0.037227,0.075593,-0.067823,0.038467,0.034775,-0.152961,0.138777,-0.092854,-0.068379,-0.013941,-0.024885,0.109332,-0.049058,0.029799,-0.008766,0.056744,-0.050435,-0.070686,0.072854,-0.063528,-0.021418,-0.108247,0.046962,-0.064409,0.074159,0.206219,-0.223768,0.126454,0.266554,0.019198,-0.028287,0.077080,-0.020354,-0.020671,0.029743,-0.081682,0.017908,0.109027,-0.107089,0.081069,0.084086,-0.230207,0.250878,-0.228713,-0.254244,-0.113189,0.104438,-0.054741,-0.089695,0.138456,-0.130742,0.086854,0.094478,-0.145640,0.145390,-0.142096,-0.035138,0.037320,-0.018588,-0.062567,0.057002,-0.035756,0.043492,-0.071059,0.024339,0.014343,-0.022087,0.052144,-0.051395,0.199758,-0.202822,0.187954,0.231196,-0.105728,0.096514,-0.032662,-0.164399
