feature_group,original_feature,principal_component,contribution
M-H_M_H_H,M-H_M_H_H_n10_n20_l0,M-H_M_H_H_PC1,0.001499
M-H_M_H_H,M-H_M_H_H_n10_n20_l1,M-H_M_H_H_PC1,0.037974
M-H_M_H_H,M-H_M_H_H_n10_n20_l2,M-H_M_H_H_PC1,0.187211
M-H_M_H_H,M-H_M_H_H_n10_n20_l3,M-H_M_H_H_PC1,-0.176056
M-H_M_H_H,M-H_M_H_H_n10_n20_l4,M-H_M_H_H_PC1,-0.068839
M-H_M_H_H,M-H_M_H_H_n10_n21_l0,M-H_M_H_H_PC1,-0.186389
M-H_M_H_H,M-H_M_H_H_n10_n21_l1,M-H_M_H_H_PC1,0.176251
M-H_M_H_H,M-H_M_H_H_n10_n21_l2,M-H_M_H_H_PC1,0.159473
M-H_M_H_H,M-H_M_H_H_n10_n21_l3,M-H_M_H_H_PC1,0.005006
M-H_M_H_H,M-H_M_H_H_n10_n21_l4,M-H_M_H_H_PC1,-0.173898
M-H_M_H_H,M-H_M_H_H_n10_n22_l0,M-H_M_H_H_PC1,0.078450
M-H_M_H_H,M-H_M_H_H_n10_n22_l1,M-H_M_H_H_PC1,-0.034766
M-H_M_H_H,M-H_M_H_H_n10_n22_l2,M-H_M_H_H_PC1,0.185206
M-H_M_H_H,M-H_M_H_H_n10_n22_l3,M-H_M_H_H_PC1,-0.174434
M-H_M_H_H,M-H_M_H_H_n10_n22_l4,M-H_M_H_H_PC1,-0.009866
M-H_M_H_H,M-H_M_H_H_n10_n23_l0,M-H_M_H_H_PC1,-0.182947
M-H_M_H_H,M-H_M_H_H_n10_n23_l1,M-H_M_H_H_PC1,0.176022
M-H_M_H_H,M-H_M_H_H_n10_n23_l2,M-H_M_H_H_PC1,0.176086
M-H_M_H_H,M-H_M_H_H_n10_n23_l3,M-H_M_H_H_PC1,-0.071758
M-H_M_H_H,M-H_M_H_H_n10_n23_l4,M-H_M_H_H_PC1,-0.172649
