iter	RMSE
0	1.297693561
1	1.234223432
2	1.186551635
3	1.140090043
4	1.102294401
5	1.066921464
6	1.020370752
7	0.9778785018
8	0.9447517783
9	0.9178384086
10	0.8951991125
11	0.8643175282
12	0.8386475489
13	0.8110502968
14	0.7880234925
15	0.7628011327
16	0.7475834662
17	0.7251621546
18	0.7039833527
19	0.6903855119
20	0.6788683214
21	0.6595838203
22	0.6436719903
23	0.6262352701
24	0.6099007047
25	0.6007941064
26	0.5851423745
27	0.572879151
28	0.5591869514
29	0.5502286684
30	0.5407883657
31	0.5276693497
32	0.514989558
33	0.5078779192
34	0.4988641127
35	0.4933877552
36	0.482627797
37	0.4784154705
38	0.4689037546
39	0.4634833614
40	0.4583512278
41	0.4525706191
42	0.4444514819
43	0.4372674601
44	0.430079725
45	0.4234416122
46	0.4171270082
47	0.4113309826
48	0.404104143
49	0.4001612531
50	0.3966091173
51	0.3909793301
52	0.3864740537
53	0.3803879978
54	0.3759720007
55	0.3716667148
56	0.3695980849
57	0.3641437189
58	0.3594826859
59	0.3542542376
60	0.3478616918
61	0.3455483424
62	0.3421437679
63	0.337172408
64	0.3321045175
65	0.3250655924
66	0.3192519209
67	0.3151376097
68	0.3107729323
69	0.3066336163
70	0.3042427595
71	0.3016628048
72	0.2976736959
73	0.2926224562
74	0.2876100805
75	0.2839317671
76	0.2800802808
77	0.2781589343
78	0.2768084265
79	0.27550865
80	0.273394843
81	0.2688996557
82	0.2635127868
83	0.2611049518
84	0.258246729
85	0.2537664314
86	0.2508257685
87	0.2465799394
88	0.2429246977
89	0.2389298916
90	0.2344016956
91	0.2313874364
92	0.2302382961
93	0.2245374909
94	0.2204716932
95	0.2177861871
96	0.2152923299
97	0.21268019
98	0.2118755834
99	0.2078822217
