iter	Passed	Remaining
0	57	5668
1	58	2860
2	59	1920
3	60	1448
4	61	1167
5	62	979
6	63	842
7	64	741
8	65	660
9	66	597
10	67	546
11	68	503
12	69	466
13	70	435
14	71	407
15	72	382
16	73	361
17	75	341
18	76	324
19	77	309
20	78	294
21	79	281
22	80	269
23	81	258
24	82	248
25	83	238
26	85	231
27	86	222
28	88	215
29	89	208
30	90	200
31	91	193
32	92	187
33	93	181
34	95	176
35	96	171
36	97	166
37	98	161
38	100	156
39	101	151
40	102	147
41	103	142
42	104	138
43	105	134
44	107	130
45	108	127
46	109	123
47	110	120
48	111	116
49	112	112
50	113	109
51	114	106
52	116	103
53	117	100
54	119	97
55	120	94
56	120	91
57	122	88
58	123	85
59	124	83
60	125	80
61	126	77
62	128	75
63	129	73
64	130	70
65	131	67
66	133	65
67	134	63
68	135	60
69	136	58
70	137	56
71	138	53
72	139	51
73	140	49
74	141	47
75	142	45
76	143	42
77	145	40
78	146	38
79	147	36
80	148	34
81	149	32
82	150	30
83	151	28
84	152	26
85	153	24
86	154	23
87	156	21
88	157	19
89	158	17
90	159	15
91	160	13
92	161	12
93	162	10
94	163	8
95	164	6
96	165	5
97	166	3
98	167	1
99	168	0
