Feature,Importance
M-2H_H_O_Ce_atom0_PC1,0.27236666190341935
M-2H_H_O_O_atom0_PC1,0.12110352801203858
M-2H_H_O_O_atom0_PC2,0.04259795017993418
M-2H_H_O_O_atom0_PC3,0.041095308573116156
M-2H_H_H_Ce_atom1_PC1,0.028290264893469006
M-2H_M_H_O_PC1,0.024216592320693425
M-2H_H_H_O_atom0_PC2,0.021533110863346236
M-2H_H_M_M_atom0_PC1,0.01994853621206007
M-2H_M_H_H_PC1,0.01841861499810884
M-2H_H_H_O_atom0_PC3,0.01675877633423589
M-2H_H_Ce_Ce_atom0_PC2,0.016333231335914185
M-2H_H_H_O_atom0_PC1,0.012466602214377627
M-H_M_O_M_PC2,0.011964226437871985
M-2H_M_O_M_PC2,0.010722537454701187
M-2H_M_H_M_PC2,0.010547367212891878
M-2H_H_O_M_atom0_PC2,0.010017852913592617
M-2H_H_O_Ce_atom0_PC4,0.009995647061057449
M-2H_H_Ce_Ce_atom0_PC3,0.00962714344521149
M-2H_H_O_M_atom0_PC7,0.008566452147729062
M-2H_M_O_O_PC1,0.008147717718715669
M-H_M_O_O_PC1,0.007898898452920793
M-2H_H_O_O_atom1_PC5,0.007768569882120236
M-2H_H_O_O_atom1_PC2,0.006710701043168037
M-2H_H_M_Ce_atom0_PC6,0.0066252219145689975
M-2H_H_H_O_atom0_PC4,0.006505186179013475
M-2H_H_O_M_atom0_PC6,0.00595620232660277
M-2H_M_H_Ce_PC3,0.005108138875785947
M-2H_H_O_Ce_atom1_PC4,0.005074694029459942
M_M_O_Ce_PC4,0.0049055538058551925
M-2H_H_H_M_atom0_PC2,0.004787071143857827
M-2H_M_H_O_PC3,0.004383945843369475
M-H_H_H_O_PC1,0.004303671817128464
M-2H_M_H_Ce_PC1,0.0039858057629798835
M-2H_H_H_O_atom0_PC7,0.0038666041252678664
M-2H_H_H_M_atom1_PC1,0.00344096613913308
M-2H_H_Ce_Ce_atom0_PC1,0.003352336954666891
M-2H_H_O_Ce_atom0_PC3,0.003252345508316634
M_M_O_M_PC2,0.0031932207824223006
M-2H_H_O_Ce_atom1_PC6,0.0031543707931371485
M-H_H_M_M_PC1,0.0030091172871282725
M_M_Ce_Ce_PC2,0.0029894503044553583
M-2H_H_H_Ce_atom0_PC3,0.0028853822809176257
M-H_H_O_O_PC4,0.0027608559329671445
M-2H_H_H_H_atom0_PC1,0.0027429722843847325
