Feature,Importance
M-2H_H_O_Ce_atom0_PC1,0.2864540234076794
M-2H_H_O_O_atom0_PC1,0.1278470767961268
M-2H_H_O_O_atom0_PC3,0.10354395483065411
M-2H_H_H_Ce_atom1_PC1,0.07931726798042173
M-2H_M_H_O_PC1,0.07771576393945952
M-2H_H_M_M_atom0_PC1,0.0696842604413854
M-2H_M_H_H_PC1,0.06499227875587367
M-2H_H_O_O_atom0_PC2,0.05729387771182831
M-2H_H_Ce_Ce_atom0_PC2,0.042614899238358296
M-2H_M_H_M_PC2,0.0379724212278118
M-2H_H_O_Ce_atom0_PC4,0.030672256686876495
M-2H_H_H_O_atom0_PC4,0.02633830413445483
M-2H_M_O_O_PC1,0.025219088749198378
M-H_M_O_O_PC1,0.02322500231594656
M-2H_H_M_Ce_atom0_PC6,0.023075441942021765
M-2H_H_H_O_atom0_PC2,0.022014197808671244
M-H_M_O_M_PC2,0.021680193169225374
M-2H_H_H_O_atom0_PC3,0.01819988499220551
M-2H_M_O_M_PC2,0.017985653057821367
M_M_O_Ce_PC4,0.017028759381988168
M-2H_M_H_Ce_PC3,0.01457599934633786
M-2H_H_Ce_Ce_atom0_PC3,0.013337487959410472
M-2H_H_H_O_atom0_PC1,0.012183766726254075
M-2H_H_H_Ce_atom0_PC3,0.01215210632416495
M-2H_M_H_O_PC3,0.011946041858307591
M-2H_H_O_Ce_atom1_PC6,0.011406388705717025
M-2H_H_O_O_atom1_PC5,0.01104720209565761
M-2H_H_H_M_atom0_PC2,0.010414312691535324
M-2H_H_O_M_atom0_PC7,0.010114048030287226
M-2H_H_Ce_Ce_atom0_PC1,0.009744682984775068
M-2H_H_O_M_atom0_PC1,0.00972910218165504
M-2H_H_O_Ce_atom1_PC5,0.00969498468056089
M-2H_H_O_O_atom1_PC2,0.009522107902711395
M_M_O_M_PC2,0.009419685211501758
M_M_Ce_Ce_PC2,0.00922210400839765
M-H_M_H_O_PC1,0.009121889720562578
M-2H_H_H_M_atom1_PC1,0.009000007342382148
M-2H_H_O_M_atom0_PC6,0.008166643469828656
M_M_O_O_PC1,0.007958483941675676
M-2H_H_H_O_atom0_PC7,0.007590702434664052
M-2H_H_O_M_atom0_PC2,0.007355097221398199
M-2H_H_O_Ce_atom1_PC4,0.007163590006759863
M-2H_H_O_O_atom0_PC5,0.006635269875840468
M-2H_M_O_Ce_PC4,0.006339431781494014
M-2H_M_H_O_PC10,0.006221484676846694
M-H_H_M_M_PC1,0.0061356885003838926
M-2H_M_O_O_PC4,0.006101169338560717
M-H_M_H_Ce_PC1,0.005960200229764919
M-2H_M_H_Ce_PC1,0.005683750756843332
M-2H_H_H_Ce_atom1_PC4,0.005590420345423849
M-H_H_H_O_PC1,0.005563130194817206
M-2H_H_O_O_atom1_PC4,0.005540814852239826
M-2H_H_O_Ce_atom0_PC3,0.005415111351326127
M-2H_H_Ce_Ce_atom1_PC3,0.0054131258496233365
M-2H_H_O_M_atom0_PC10,0.005311675686317545
M-H_H_O_M_PC1,0.005294836253331716
M-H_M_Ce_Ce_PC2,0.005215750121786758
Electronegativity,0.00514265728734911
M-H_M_O_O_PC5,0.005034152923202119
M-2H_H_O_Ce_atom1_PC1,0.004810089783682246
M-2H_H_H_M_atom0_PC7,0.004740263414670263
M-H_M_H_O_PC3,0.004475221493777347
M-2H_H_O_O_atom1_PC1,0.004467222698226557
M-H_M_O_Ce_PC2,0.00445039318502208
M-2H_M_H_H_PC3,0.004397803578223391
M-2H_H_O_Ce_atom0_PC6,0.004295746359102184
M_M_O_O_PC4,0.004276097267894305
M-2H_H_H_O_atom1_PC7,0.00422457729305971
M-H_H_O_O_PC4,0.0041856751827099355
M-H_M_H_O_PC5,0.004162112351248116
M-2H_M_H_Ce_PC7,0.004133302347860873
M-2H_M_Ce_Ce_PC2,0.004109987117662363
M-H_M_O_Ce_PC1,0.004073345381878151
M-2H_M_H_O_PC7,0.003811324259285051
M-2H_H_H_M_atom1_PC9,0.0038105082073643377
M-2H_M_H_O_PC8,0.0037199656068349777
M-H_H_H_O_PC2,0.00371751911617688
M-H_M_O_Ce_PC4,0.0036423323991388395
M-H_H_O_O_PC5,0.0035685022654708964
M-H_H_H_M_PC1,0.00353317016357439
M-2H_H_H_O_atom1_PC10,0.003530991574152833
M-2H_H_M_Ce_atom0_PC2,0.0035061552790576662
M-H_M_H_Ce_PC5,0.003464870329303506
M-2H_H_Ce_Ce_atom1_PC2,0.0033260422701843267
M-2H_H_H_O_atom1_PC5,0.003246173684179814
M-2H_H_H_O_atom1_PC9,0.0031958121475414124
M-2H_H_O_O_atom1_PC3,0.003176734470225692
M-H_H_O_Ce_PC1,0.003084679099674985
M-2H_M_Ce_Ce_PC1,0.0030276391969374056
M-2H_H_O_M_atom1_PC1,0.003019548938127836
M-2H_H_H_O_atom0_PC12,0.003018089145385226
M_M_O_Ce_PC3,0.002994402990235463
M-2H_H_O_Ce_atom0_PC2,0.002954290852205469
M-2H_H_H_O_atom1_PC2,0.0029505258904169713
M-2H_H_O_O_atom0_PC7,0.0029146289403268045
M-2H_H_O_M_atom1_PC6,0.002832478002021791
M-2H_M_O_Ce_PC3,0.002801899627168577
M-H_H_O_O_PC2,0.0027993269108158012
M-2H_H_H_Ce_atom0_PC1,0.0027846850604067966
M-2H_H_O_M_atom0_PC8,0.0027761763071932825
M-2H_H_O_O_atom0_PC4,0.002761689471286434
M-2H_M_H_H_PC2,0.002759158797899006
M-2H_H_O_M_atom1_PC5,0.002732122659560407
M-2H_H_H_O_atom0_PC10,0.0026783348299933545
M_M_O_O_PC3,0.002634194075440251
M-2H_H_H_M_atom0_PC5,0.0025543288023833948
M-H_H_O_O_PC3,0.0025540560640033108
M_M_O_Ce_PC1,0.0025533857632010232
M-H_H_H_Ce_PC1,0.0025453672819280614
M-2H_H_O_Ce_atom1_PC2,0.0025417464689837257
Group,0.0025382465110498904
M-2H_H_H_H_atom0_PC1,0.0024937612546399256
M-2H_H_H_M_atom1_PC2,0.002490694772445599
Valence_Electrons,0.0024747351851614014
M-2H_H_O_M_atom1_PC7,0.002467743787137327
M-2H_H_H_O_atom0_PC9,0.0024438350652587573
M-2H_H_H_O_atom1_PC11,0.002443816887723162
M-2H_H_H_M_atom0_PC9,0.0024297749398900885
M-2H_M_H_Ce_PC2,0.002415891800339542
M_M_O_M_PC1,0.002388154007072991
